preco	area	quartos	banheiros	vagas	suites	bairro
480000	98	3	1	2	1	portao
779900	129	3	1	2	3	portao
588270	121	3	NA	2	1	portao
690768	147	3	NA	2	1	portao
421165	75	3	NA	1	1	portao
326694	62	2	NA	1	1	portao
488000	83	3	1	2	1	portao
586000	94	3	2	2	1	agua-verde
586000	94	3	2	2	1	agua-verde
750000	238	3	5	2	3	agua-verde
406664	62.42	2	1	1	NA	agua-verde
650000	106	3	2	2	1	agua-verde
600000	87.63	3	2	2	1	agua-verde
1000000	187	NA	1	2	1	agua-verde
570000	94	3	3	2	1	agua-verde
2983760	181.28	4	5	4	2	agua-verde
800000	119	3	4	2	1	agua-verde
800000	119	3	4	2	1	agua-verde
1700000	230	3	5	4	3	agua-verde
480900	68	1	1	1	NA	agua-verde
519900	90	2	2	2	1	agua-verde
662400	119	3	4	2	1	agua-verde
799900	129	3	4	2	1	agua-verde
439900	75.48	2	1	2	1	agua-verde
329000	99	3	2	1	1	agua-verde
1048500	139.79	3	3	2	3	agua-verde
1502470	181.28	4	5	3	2	agua-verde
470000	75	2	3	2	1	agua-verde
329900	46	1	1	1	NA	agua-verde
698000	105	3	1	2	1	agua-verde
320000	129	3	2	1	1	agua-verde
260000	60	2	1	1	1	agua-verde
325000	70	3	1	1	1	agua-verde
660000	145	3	5	2	3	agua-verde
331000	70	3	1	1	1	agua-verde
662400	119	3	4	2	1	agua-verde
586000	94	3	2	2	1	agua-verde
779900	129	3	4	2	3	agua-verde
970000	133	4	4	2	3	agua-verde
474000	79	3	3	2	1	agua-verde
272000	60	2	1	1	1	agua-verde
269000	60	2	1	1	1	agua-verde
263000	60	2	1	1	1	agua-verde
750000	145	NA	5	2	3	agua-verde
280000	129	3	2	1	1	agua-verde
334000	70	3	1	1	1	agua-verde
328000	70	3	1	1	1	agua-verde
213300	29	1	1	1	NA	agua-verde
662400	119	3	4	2	1	agua-verde
800000	119	3	4	2	1	agua-verde
275574	34.75	1	1	NA	NA	agua-verde
600000	103	3	2	1	1	agua-verde
1232389	139.95	3	1	2	1	agua-verde
801900	139	3	5	2	3	agua-verde
1372140	181.28	4	5	3	2	agua-verde
900000	170	4	4	3	1	agua-verde
782700	96	3	3	2	2	agua-verde
730000	159	3	2	2	1	agua-verde
784577	119	3	3	NA	2	agua-verde
395000	72	2	2	1	1	agua-verde
1535070	181.28	4	5	3	2	agua-verde
495900	85	2	3	2	2	agua-verde
687209	98.53	2	1	2	NA	agua-verde
490000	94	2	1	2	2	agua-verde
507040	85.67	2	3	2	2	agua-verde
824546	118	3	1	2	1	agua-verde
600000	114	3	3	2	1	agua-verde
365000	96	3	3	1	1	agua-verde
654900	119	3	4	2	1	agua-verde
1100000	202	4	5	2	2	agua-verde
1149652	168	4	4	3	3	agua-verde
583900	119	2	2	2	1	agua-verde
1000900	101.43	4	3	2	1	agua-verde
1551640	181.28	4	4	3	3	agua-verde
534100	77.09	2	2	2	1	agua-verde
900000	119.77	3	3	3	2	agua-verde
980000	180	4	4	2	2	agua-verde
640000	93	3	2	2	1	agua-verde
315000	84	3	1	1	1	agua-verde
1217460	139.95	3	1	2	1	agua-verde
510000	82	3	2	2	1	agua-verde
570900	85	2	3	2	2	agua-verde
1086900	188	3	5	3	3	agua-verde
480000	94.56	3	3	1	1	agua-verde
398300	80	3	1	1	NA	agua-verde
680000	119	3	3	2	1	agua-verde
459000	75	2	2	2	1	agua-verde
545000	117	3	1	2	1	agua-verde
500000	85	2	4	2	2	agua-verde
490000	97.87	3	2	2	1	agua-verde
1625000	200	4	2	4	1	agua-verde
950000	158	3	5	2	3	agua-verde
1170000	178	4	4	2	1	agua-verde
1453890	181.28	4	6	4	3	agua-verde
533696	67.64	2	1	2	1	agua-verde
555000	77	2	3	2	1	agua-verde
855000	187	3	3	2	1	agua-verde
538640	100	3	3	2	2	agua-verde
2050000	283	4	5	3	4	agua-verde
2845060	308.34	4	4	4	4	agua-verde
740000	120.99	3	NA	2	1	agua-verde
4250000	442	4	5	4	2	agua-verde
782449	120	3	2	2	1	agua-verde
560000	123	3	1	1	1	agua-verde
730400	121.48	3	3	2	2	agua-verde
559900	105	3	2	2	1	agua-verde
2200000	240	2	4	6	2	agua-verde
413901	62.31	2	1	1	NA	agua-verde
