## Dados de resposabilidade de Alexandre Bryan Heinemann, pesquisador
## da Embrapa Arroz e Feijão. Experimento para avaliação de cultivares de
## arroz foi instaldo em delineamento de blocos casualizados para avaliar o
## efeito do espaçamento de cultivo nos componentes de produção das
## cultivares. O experimento foi repetido tem 3 locais sendo que em um
## deles fez-se em dois anos, perfazendo 4 repetições do experimento.
## 
## local: indica o local de condução do ensaio.
## ano: indica o ano de condução do ensaio.
## parc: indica a parcela dentro do ensaio.
## bl: indica o bloco dentro do ensaio.
## cult: indica a cultivar de arroz.
## esp: espaçamento de cultivo (m).
## rend: rendimento de grãos (kg ha^{-1}).
## ester: esterelidade (%).
## npan: número (médio) de panículas.
## p100: peso de 100 grãos (g).
## local2: é a concatenação de local com ano.
## ng_pan: número de grãos por panícula.
## As demais variáveis são ambientais e não medidas ao nível das
## parcelas. Os valores são os mesmos para todas as parcelas de uma mesma
## cultivar:local:ano, ou seja, não mudam de bloco para bloco.
##
local	ano	parc	bl	cult	esp	rend	ester	npan	p100	ng_pan	prect	precv	precr	gdet	gdev	gder	rad	txdesv	tdesr	local2
3	2009	201	2	D	0.55	2116	21.2	178.2	3.1	86.4	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	205	2	D	0.25	1531	21.5	292	3	97.1	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	207	2	D	0.45	1854	29.9	217.8	3.3	126.5	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	210	2	D	0.35	2821	16	251.4	3.1	135	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	303	3	D	0.55	2432	11.1	200	3.5	95.7	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	306	3	D	0.25	2756	15.9	356	3.5	130.7	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	309	3	D	0.45	2354	19.5	262.2	3.4	86.4	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	310	3	D	0.35	3607	12.4	277.1	3.6	97.1	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	401	4	D	0.55	1616	15.5	181.8	3.2	117.8	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	404	4	D	0.25	2238	17.5	392	3	95.4	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	409	4	D	0.45	2545	24.1	235.6	2.9	119.7	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	412	4	D	0.35	2808	28.1	311.4	3	115.2	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	103	1	P	0.55	912	NA	196.4	2.1	103.9	495.6	225.2	161.9	1667.3	810.8	426.4	1575.68	0.0008	0.00082	Porangatu
3	2009	104	1	P	0.25	1369	40.4	356	2.3	105	495.6	225.2	161.9	1667.3	810.8	426.4	1575.68	0.0008	0.00082	Porangatu
3	2009	108	1	P	0.45	1403	28.2	213.3	2.2	127.6	495.6	225.2	161.9	1667.3	810.8	426.4	1575.68	0.0008	0.00082	Porangatu
3	2009	112	1	P	0.35	1844	26	291.4	2.2	103.4	495.6	225.2	161.9	1667.3	810.8	426.4	1575.68	0.0008	0.00082	Porangatu
3	2009	202	2	P	0.55	828	NA	158.2	2.4	111	495.6	225.2	161.9	1667.3	810.8	426.4	1575.68	0.0008	0.00082	Porangatu
3	2009	206	2	P	0.25	1775	25	300	2.3	90.9	495.6	225.2	161.9	1667.3	810.8	426.4	1575.68	0.0008	0.00082	Porangatu
3	2009	208	2	P	0.45	1024	29.8	213.3	2.1	123.5	495.6	225.2	161.9	1667.3	810.8	426.4	1575.68	0.0008	0.00082	Porangatu
3	2009	211	2	P	0.35	2183	27.5	257.1	2.5	98.1	495.6	225.2	161.9	1667.3	810.8	426.4	1575.68	0.0008	0.00082	Porangatu
