experimento	semente	inseticida	tratamento	repeticao	estande	producao
2008E99005	AG9010YG	SEM INS	2	1	66250	9737.53
2008E99005	AG9010YG	SEM INS	2	2	63750	9452.33
2008E99006	DKB330	COM INS	3	3	70000	8629.31
2008E99006	DKB330	COM INS	3	1	67500	8546.34
2008E99006	DKB330	COM INS	3	2	67500	9086.67
2008E99006	DKB330	COM INS	3	4	65000	8753.16
2008E99006	DKB330	COM INS	3	5	65000	8600.57
2008E99006	DKB330	SEM INS	4	2	68750	8768.39
2008E99006	DKB330	SEM INS	4	4	67500	8487.36
2008E99006	DKB330	SEM INS	4	3	67500	9216.32
2008E99006	DKB330	SEM INS	4	1	67500	8449.89
2008E99006	DKB330	SEM INS	4	5	68750	8589.94
2008E99006	DKB330YG	COM INS	1	3	70000	10101.72
2008E99006	DKB330YG	COM INS	1	5	68750	9030.46
2008E99006	DKB330YG	COM INS	1	4	71250	9921.62
2008E99006	DKB330YG	COM INS	1	2	67500	9420.98
2008E99006	DKB330YG	COM INS	1	1	67500	9224.48
2008E99006	DKB330YG	SEM INS	2	5	70000	8847.26
2008E99006	DKB330YG	SEM INS	2	2	67500	8755.86
2008E99006	DKB330YG	SEM INS	2	1	68750	9659.48
2008E99006	DKB330YG	SEM INS	2	3	67500	8702.53
2008E99006	DKB330YG	SEM INS	2	4	66250	9482.87
2008E99007	DKB390	COM INS	3	1	67500	11075.47
2008E99007	DKB390	COM INS	3	2	68750	11569.51
2008E99007	DKB390	COM INS	3	3	68750	11265.23
2008E99007	DKB390	COM INS	3	5	67500	11729.2
2008E99007	DKB390	COM INS	3	4	68750	12751.26
2008E99007	DKB390	SEM INS	4	1	65000	10716.31
2008E99007	DKB390	SEM INS	4	2	68750	11580.46
2008E99007	DKB390	SEM INS	4	5	68750	11735.49
2008E99007	DKB390	SEM INS	4	4	63750	10683.05
2008E99007	DKB390	SEM INS	4	3	66250	10197.64
2008E99007	DKB390YG	COM INS	1	2	67500	12515.8
2008E99007	DKB390YG	COM INS	1	3	71250	12687.21
2008E99007	DKB390YG	COM INS	1	4	71250	13016.61
2008E99007	DKB390YG	COM INS	1	5	66250	12378.94
2008E99007	DKB390YG	COM INS	1	1	66250	12407.76
2008E99007	DKB390YG	SEM INS	2	2	66250	12379.14
2008E99007	DKB390YG	SEM INS	2	4	67500	10575
2008E99007	DKB390YG	SEM INS	2	1	65000	10405.52
2008E99007	DKB390YG	SEM INS	2	3	66250	11266.67
2008E99007	DKB390YG	SEM INS	2	5	68750	11899.14
2008E99008	AG9010	COM INS	3	4	71250	12074.25
2008E99008	AG9010	COM INS	3	5	72500	10624.55
2008E99008	AG9010	COM INS	3	2	71250	11001.81
2008E99008	AG9010	COM INS	3	1	71250	10904.83
2008E99008	AG9010	COM INS	3	3	70000	11271.85
2008E99008	AG9010	SEM INS	4	4	70000	11711.86
2008E99008	AG9010	SEM INS	4	5	70000	10092.14
2008E99008	AG9010	SEM INS	4	2	71250	10789.27
2008E99008	AG9010	SEM INS	4	3	72500	10777.01
2008E99008	AG9010	SEM INS	4	1	72500	12030.65
2008E99008	AG9010YG	COM INS	1	4	67500	12392.21
2008E99008	AG9010YG	COM INS	1	5	71250	12549.43
2008E99008	AG9010YG	COM INS	1	1	72500	11088.32
2008E99008	AG9010YG	COM INS	1	3	72500	10603.31
2008E99008	AG9010YG	COM INS	1	2	71250	11356.32
2008E99008	AG9010YG	SEM INS	2	4	70000	11531.03
2008E99008	AG9010YG	SEM INS	2	2	70000	11557.89
2008E99008	AG9010YG	SEM INS	2	5	72500	11823.08
2008E99008	AG9010YG	SEM INS	2	3	77500	12545.93
2008E99008	AG9010YG	SEM INS	2	1	72500	13052.72
2008E99009	DKB330	COM INS	3	2	72500	11586.64
2008E99009	DKB330	COM INS	3	4	71250	12269.7
2008E99009	DKB330	COM INS	3	1	71250	12393.2
2008E99009	DKB330	COM INS	3	3	70000	9816
2008E99009	DKB330	COM INS	3	5	72500	12189.93
2008E99009	DKB330	SEM INS	4	3	71250	10341.33
2008E99009	DKB330	SEM INS	4	5	72500	12058.67
2008E99009	DKB330	SEM INS	4	2	70000	11718.07
2008E99009	DKB330	SEM INS	4	1	73750	12379.91
2008E99009	DKB330	SEM INS	4	4	71250	11569.66
2008E99009	DKB330YG	COM INS	1	4	71250	12230.25
2008E99009	DKB330YG	COM INS	1	2	71250	13159.72
2008E99009	DKB330YG	COM INS	1	3	72500	11524.9
2008E99009	DKB330YG	COM INS	1	5	70000	13609.93
2008E99009	DKB330YG	COM INS	1	1	70000	11298.08
2008E99009	DKB330YG	SEM INS	2	4	71250	12227.59
2008E99009	DKB330YG	SEM INS	2	3	70000	11118.71
2008E99009	DKB330YG	SEM INS	2	2	72500	11799.4
2008E99009	DKB330YG	SEM INS	2	1	71250	11068.2
2008E99009	DKB330YG	SEM INS	2	5	71250	12914.18
2008E99010	DKB390	COM INS	3	5	70000	11272.84
2008E99010	DKB390	COM INS	3	2	71250	12598.5
2008E99010	DKB390	COM INS	3	4	72500	11589.27
2008E99010	DKB390	COM INS	3	1	72500	13753.1
2008E99010	DKB390	COM INS	3	3	71250	13529.76
2008E99010	DKB390	SEM INS	4	1	71250	13306.48
2008E99010	DKB390	SEM INS	4	2	72500	11671.11
2008E99010	DKB390	SEM INS	4	4	71250	11778.7
2008E99010	DKB390	SEM INS	4	5	70000	13436.63
2008E99010	DKB390	SEM INS	4	3	70000	13338.31
2008E99010	DKB390YG	COM INS	1	4	70000	12972.11
2008E99010	DKB390YG	COM INS	1	5	70000	13722.73
2008E99010	DKB390YG	COM INS	1	1	71250	14700.69
2008E99010	DKB390YG	COM INS	1	3	68750	12557.79
2008E99010	DKB390YG	COM INS	1	2	70000	14333.33
2008E99010	DKB390YG	SEM INS	2	2	71250	14752.87
2008E99010	DKB390YG	SEM INS	2	5	71250	14093.33
2008E99010	DKB390YG	SEM INS	2	3	70000	15742.16
2008E99010	DKB390YG	SEM INS	2	4	70000	14701.52
2008E99010	DKB390YG	SEM INS	2	1	71250	14270.31
2008E99011	AG9010	COM INS	3	4	72222	9804.29
2008E99011	AG9010	COM INS	3	2	70000	9375.27
2008E99011	AG9010	COM INS	3	3	72222	9667.94
2008E99011	AG9010	COM INS	3	1	72222	9556.21
2008E99011	AG9010	COM INS	3	5	70000	8925.67
2008E99011	AG9010	SEM INS	4	2	71111	9391.57
2008E99011	AG9010	SEM INS	4	3	70000	8982.26
2008E99011	AG9010	SEM INS	4	5	73333	9357.24
2008E99011	AG9010	SEM INS	4	1	70000	8533.33
2008E99011	AG9010	SEM INS	4	4	72222	8686.91
2008E99011	AG9010YG	COM INS	1	5	70000	9375.43
2008E99011	AG9010YG	COM INS	1	1	71111	8993.92
2008E99011	AG9010YG	COM INS	1	4	72222	8902.99
2008E99011	AG9010YG	COM INS	1	2	70000	8430.77
2008E99011	AG9010YG	COM INS	1	3	70000	8682.41
2008E99011	AG9010YG	SEM INS	2	2	72222	9254.02
2008E99011	AG9010YG	SEM INS	2	1	72222	9114.25
