id;tam;quar;banh;valor
aviso-2927699090;67;2;1;420000
aviso-2927699108;69;2;1;395000
aviso-2927708978;33;1;1;195000
aviso-2927709032;33;1;1;195000
aviso-2927709099;33;1;1;195000
aviso-2927710846;91;3;2;330000
aviso-2927738059;32;1;1;180000
aviso-2927507198;143;3;5;888000
aviso-2927833631;129;2;2;590000
aviso-2927799994;64;3;2;395000
aviso-2927815014;129;2;2;590000
aviso-2927780220;92;4;3;418000
aviso-2927852860;83;3;2;574000
aviso-2927856935;110;3;2;380000
aviso-2927857111;120;3;3;430000
aviso-2928055585;76;3;2;343200
aviso-2928045190;43;2;1;210000
aviso-2928055102;60;2;1;335000
aviso-2928022400;60;2;1;280000
aviso-2928162668;108;3;3;658000
aviso-2928165811;76;3;2;570000
aviso-2928166063;77;2;2;330000
aviso-2928074347;108;3;3;6e+05
aviso-2928103698;168;3;3;790000
aviso-2928103740;31;1;1;315000
aviso-2928103946;182;4;2;1117000
aviso-2928103948;143;4;2;881000
aviso-2928103949;113;3;2;771000
aviso-2928159982;73;2;1;330000
aviso-2928160445;42;2;1;155000
aviso-2928160493;30;1;1;195900
aviso-2928172289;32;1;1;230000
aviso-2928173715;98;2;1;550000
aviso-2928174576;160;3;4;1025700
aviso-2928176450;113;3;3;587000
aviso-2928168714;26;1;1;129000
aviso-2928137504;55;2;1;260000
aviso-2926129500;98;3;2;5e+05
aviso-2926175255;77;3;2;340000
aviso-2928100561;70;2;2;330000
aviso-2928102144;67;2;2;280000
aviso-2928125006;113;3;4;587000
aviso-2928096242;129;2;2;830000
aviso-2928144190;76;3;2;343200
aviso-2928144440;210;4;6;1300000
aviso-2928153122;66;2;1;299000
aviso-2926333500;41;1;1;560000
aviso-2926293228;108;3;3;706000
aviso-2926293229;180;3;4;1153000
aviso-2926327414;33;1;1;179000
aviso-2926299254;180;3;4;1077000
aviso-2926304177;91;3;3;395000
aviso-2926310158;90;3;2;520000
aviso-2926341611;180;3;4;1061000
aviso-2926343869;143;4;4;694900
aviso-2926258649;67;2;2;360000
aviso-2926258661;67;2;2;434900
aviso-2927930065;43;1;1;205000
aviso-2927924643;70;2;2;428000
aviso-2927950261;53;2;2;270000
aviso-2927950995;134;3;3;595000
aviso-2927951565;70;2;1;385000
aviso-2927939230;92;3;3;410000
aviso-2927941570;108;3;2;750000
aviso-2927941586;37;1;1;210000
aviso-2927956240;95;3;4;495000
aviso-2927497823;32;1;1;255000
aviso-2927598678;108;3;3;639000
aviso-2927598679;180;3;4;1077000
aviso-2927599861;182;4;5;1033515
aviso-2927599897;182;4;5;973875
aviso-2927599957;143;4;3;821100
aviso-2927599961;143;4;4;807450
aviso-2927600004;113;3;4;709800
aviso-2927600037;113;3;4;669165
aviso-2927600085;113;3;4;613200
aviso-2927600612;32;1;1;202300
aviso-2927792042;83;3;2;574000
aviso-2927792074;83;3;2;574000
aviso-2927792098;83;3;2;574000
aviso-2927702279;80;3;2;350000
aviso-2927707650;98;3;2;504000
aviso-2927708496;34;1;1;195000
aviso-2927708505;34;1;1;195000
aviso-2927708558;34;1;1;195000
aviso-2927708639;77;3;2;480800
aviso-2927708711;34;1;1;195000
aviso-2927708813;34;1;1;195000
aviso-2927708833;34;1;1;195000
aviso-2927786779;73;2;2;379100
aviso-2927786799;73;2;2;343900
aviso-2927787326;83;3;2;574000
aviso-2927811549;87;2;3;399000
aviso-2927757334;31;1;1;250000
aviso-2927760453;70;2;1;320000
aviso-2927768819;83;3;2;574000
aviso-2927655152;52;2;1;330000
aviso-2927775501;83;3;2;574000
aviso-2927776483;73;2;2;343900
aviso-2927776656;73;2;2;343890
aviso-2927776757;73;2;2;343880
aviso-2927776798;73;2;2;343900
aviso-2927776883;73;2;2;343880
aviso-2927777128;73;2;2;343900
aviso-2927777885;73;2;2;379000
aviso-2928005428;61;2;1;385000
aviso-2927981465;72;2;2;452000
aviso-2927981466;71;2;2;504000
aviso-2927981468;112;3;3;836000
aviso-2928001658;73;2;2;381000
aviso-2927995980;40;1;1;199000
aviso-2927996974;64;2;2;363000
aviso-2927975578;60;2;1;280000
aviso-2927975639;89;3;1;390000
aviso-2928221943;129;2;2;635000
aviso-2928226689;113;3;3;587000
aviso-2928210375;127;3;2;324800
aviso-2928210504;38;1;1;98200
aviso-2928236281;43;1;1;189686
aviso-2924738422;49;1;1;270000
aviso-2924738445;61;2;1;404500
aviso-2924826889;113;3;3;830000
aviso-2924904624;77;3;2;586000
aviso-2925687013;230;3;3;749000
aviso-2925754292;32;1;1;192100
aviso-2927120210;42;2;1;230000
aviso-2927120256;67;2;2;375000
aviso-2927120258;66;3;2;398000
aviso-2927120278;90;3;2;420000
aviso-2927120370;130;2;2;6e+05
aviso-2927120372;57;2;1;3e+05
aviso-2927120575;65;2;2;290000
aviso-2927120697;65;2;2;392000
aviso-2927120817;67;2;2;412000
aviso-2927120818;133;3;2;807000
aviso-2927120835;113;3;2;750000
aviso-2927121556;42;2;1;160000
aviso-2927121727;72;2;2;365000
aviso-2927152614;129;2;2;635000
aviso-2927191995;42;2;1;165000
aviso-2926232650;74;3;2;345000
